Email,Subject,Sender,Recipient,Date,Time,Attachments,Link Count,Word Count,Uppercase Count,Exclamation Count,Question Count,Dollar Count,Punctuation Count,HTML Tags Count,Spam Indicator
mikerusso@example.net,Even hotel community church.,emilyscott@example.org,gregorysmith@example.org,13-02-2023,04:13,3,0,191,32,3,3,0,11,1,1
waynebailey@example.org,Try themselves guess fight white agreement thus although.,annwhite@example.net,gonzalezdaniel@example.net,09-08-2023,06:15,3,9,45,1,2,1,2,8,2,1
jill43@example.com,Environmental commercial off seem any conference.,david88@example.net,michellebaker@example.net,16-05-2023,01:32,3,9,52,1,4,0,2,10,1,1
johnsonkaren@example.org,Smile real TV father commercial day increase.,lindaalvarez@example.com,schroedertodd@example.com,25-04-2023,14:50,2,3,75,6,0,2,0,8,2,0
markwilson@example.org,Fast stage he oil institution.,vstafford@example.com,emilywilliams@example.com,11-07-2023,21:44,3,5,299,279,0,2,0,6,1,1
krista34@example.com,Pull sense from weight choice trade.,fergusonbilly@example.net,emiles@example.net,13-01-2023,18:44,1,9,268,256,4,2,2,7,0,1
uhardy@example.org,Sort prepare skin story just glass use.,brianschmidt@example.org,valerie29@example.com,18-01-2023,04:00,3,6,117,2,1,3,2,1,0,0
ymckinney@example.org,Cell pass of perform popular.,hesterjulie@example.org,smcneil@example.com,02-05-2023,02:45,1,1,163,61,0,3,1,12,4,0
dmatthews@example.com,Particular suffer possible.,deborahhill@example.com,tdavis@example.com,27-02-2023,19:26,2,5,79,47,4,2,1,5,2,0
ttucker@example.net,Control remain morning too general discuss.,burnettvictoria@example.org,lgriffith@example.net,02-05-2023,20:41,0,4,130,92,2,3,1,0,4,0
danderson@example.org,Moment table name green bill thank college.,garybrown@example.net,lauraleach@example.org,21-06-2023,13:03,0,5,55,38,4,3,0,14,4,1
gsmith@example.org,Senior understand notice fish pass commercial Mrs.,jennifercarter@example.net,ryanwilson@example.com,24-04-2023,14:26,3,7,105,42,5,0,2,6,4,1
nicolemayer@example.com,Represent speak weight pretty discover room food.,dhayes@example.com,bweaver@example.com,04-06-2023,23:52,3,8,136,130,2,2,0,10,2,0
kylewhite@example.net,Standard first allow face.,kathy84@example.com,jennifer69@example.net,19-07-2023,18:22,3,8,206,135,1,0,2,9,4,1
ostewart@example.net,Son east staff eat.,thomaspatterson@example.com,michaelmelinda@example.org,13-08-2023,14:43,0,4,172,86,0,0,0,0,3,1
wrightchristopher@example.net,Policy energy pretty truth issue.,denise34@example.net,dwayne56@example.net,09-01-2023,13:34,2,5,11,4,1,1,0,5,4,0
lstevens@example.net,Police million foreign current age as toward.,michaelharris@example.net,ojones@example.com,17-07-2023,09:27,3,8,298,245,0,2,2,3,2,1
qsimmons@example.net,Sister protect eye recent.,owillis@example.org,julie20@example.com,27-04-2023,06:24,3,2,19,2,2,0,2,4,2,1
petersonashley@example.org,Method after them candidate what happy.,sharonmann@example.net,cesarhicks@example.org,19-08-2023,15:54,0,1,59,0,2,1,2,11,3,0
alopez@example.net,Become pick morning under.,brenda32@example.org,johnsonxavier@example.com,07-07-2023,21:54,1,7,158,88,4,2,2,1,1,0
melissa83@example.org,Town defense young return matter than discover.,nicholasweber@example.org,rodrigueznatalie@example.org,02-06-2023,20:08,3,7,194,110,2,0,0,5,4,0
schavez@example.com,Our middle at.,normaespinoza@example.org,newtonjoshua@example.com,24-02-2023,09:44,1,10,294,28,2,2,0,1,5,1
robbinsalex@example.com,Boy away cold may control.,oconnoralexis@example.com,emily34@example.com,24-02-2023,23:52,0,5,58,14,2,0,1,14,5,0
megan82@example.com,Five enough exist father author community.,richardwhite@example.net,sarahbennett@example.net,20-06-2023,03:13,3,8,263,215,4,2,2,4,0,0
kevingutierrez@example.com,Toward but mind issue sign give.,kthomas@example.org,fitzgeraldgordon@example.org,28-03-2023,05:30,0,6,216,22,3,0,0,4,2,1
garciaamanda@example.org,Science become western Mr often blue.,ambermeyer@example.net,osmith@example.com,07-03-2023,23:10,3,10,179,81,4,0,2,5,2,0
johnsontracey@example.com,Along brother leave suddenly day son.,thorne@example.org,allenthomas@example.net,24-06-2023,18:41,2,8,37,20,0,3,1,3,5,1
nathan92@example.net,Three worker price fact.,ndelacruz@example.org,jamielewis@example.com,19-07-2023,04:52,2,0,15,12,1,0,1,11,5,1
aprilschroeder@example.org,Attack pay back.,laurievance@example.com,mooresteven@example.net,01-08-2023,19:19,0,5,137,83,5,1,1,4,4,1
mscott@example.com,Green body office letter.,jhall@example.org,barryacosta@example.net,14-03-2023,09:17,1,3,39,31,1,0,1,9,1,1
